,job_description,bag_of_words
300,"Needs someone that is a self starter, can work independently and be responsible for their own accounts.WHAT DOES THIS JOB ENTAIL?Firm handles accounting for small to medium firms (90% of businesses are S-corps). During Tax season their business is 80% Businesses-20% Individual Tax returns.DOES NOT WANT ANYONE THAT HAS WORKED IN MANUFACTURING!!Must be extremely organized and expect perfection from selfGood Computer Skills: Quick books, Pro Series, (for 1040s and Corporations)Good with Microsoft, Word, and ExcelAccounting Theories: “Tie Out” Balance Sheets numbers by analyzing the accounts and prepare AJEs as requiredTax/Small Business Strategies: S CorporationsProblem SolverManaging Budgets and ProductionClient ManagementIS IT RIGHT FOR YOU?Must have 3 to 5 years CPA experience ( no less than 3 verifiable years CPA or EA required)This position does require lots of overtime during tax season, 32 hour week (off Fridays) during off season.POSITION REQUIRES A CPA OR EA DEGREE. .Please Submit Resumes TO:Email: dwilliams@hartmanpersonnel.com Fax: 440-974-6627or Call 440-974-0800 ","['accounting', 'Tax', 'Tax', 'Word', 'tax', 'Email', 'Microsoft Word']"
301,"As the manager of copywriting on the Walden University marketing team, you'll be an integral part of an in-house creative team that produces a wide range of compelling, high-quality digital content-including e-mails, Web copy, social media, ads, articles, presentations, infographics, and more. This person must be an adaptable self-starter who is comfortable managing a team of writers as well as coordinating and collaborating with a variety of personnel at all levels of an organization in a fast-paced, rapidly evolving environment. Duties and Responsibilities:Write highly effective, creative, and engaging marketing content and communications that will reinforce our brand, attract new students, retain existing students, and build stronger relationships with our alumni.Write for multiple B2B and B2C audiences within guidelines for brand, voice, and tone, employing best practices for each medium (e.g., e-mail, Web, print, mobile, social media).Responsible for management and development of SEO content, including optimization of keywords, managing freelancers, developing topic ideas, and collaborating with Web and brand teams.Oversee in-house copywriter and a team of freelance writers, providing feedback and guidance on projects.Manage incoming assignments, partnering with traffic manager to assign projects and maintain schedules.Manage multiple projects with shifting priorities on tight deadlines.Collaborate closely with the design and editorial teams to create a cohesive product that is in brand.Serve as the expert on Walden voice and tone and maintain the brand voice and tone guide.Must be responsive to and able to provide constructive creative direction and work strategically, collaboratively, and productively with internal clients. Experience:7+ years as a professional copywriter, either in an agency or in-house as part of a corporate creative or marketing department.At least 2 years of experience supervising team of internal and external copywriters in an agency or corporate marketing department.A comprehensive portfolio of creative and engaging writing samples across multiple channels, with a significant focus on digital marketing.Proven experience developing SEO content and expertise in SEO best practices and trends.Well-versed in content marketing best practices, specifically developing customized content targeted to unique personas and user journey stages.Ability to plan and manage copywriting priorities, with great attention to time management and meeting multiple deadlines within accelerated time frames.Keen attention to detail and accuracy required.Superb problem-solving, time-management, and organizational skills.Working knowledge of AP style.Working knowledge of the commenting, track changes, and mark-up tools of Microsoft Word and Adobe Acrobat Professional.Bachelor's degree in English, communications, journalism, or related field.","['marketing', 'presentations', 'marketing', 'content', 'brand', 'brand', 'mobile', 'SEO', 'content', 'brand', 'design', 'editorial', 'brand', 'marketing', 'supervising', 'marketing', 'writing', 'SEO', 'content', 'SEO', 'content', 'marketing', 'content', 'plan', 'Word', 'Adobe', 'English', 'journalism', 'social media', 'social media', 'time management', 'Microsoft Word']"
302,"Bojangles’ is expanding and opening new locations across the Southeast!  Currently located in over 715 locations in 12 states throughout the Eastern U. S. with new locations coming to the middle Tennessee area! At Bojangles’ we are proud to be Growing Great Leaders........One Biscuit at a Time!  We are Opening New Locations in the Charlotte Area soon and have opportunities for Experienced Restaurant Managers (Unit Directors, General Managers, Assistant Managers and Shift Managers). Why not become a part of one of the fastest growing companies within our industry?  We are constantly creating opportunities for great talented leaders to join our team as we continue our 39th year of excellence in the quick serve industry.  If you are experienced in Restaurant Management and Leadership, then we invite you to apply with Bojangles’ today.  Management responsibilities include:·         Controlling day-to-day operations·         Scheduling and Labor Cost management·         Inventory and Food Cost management·         Ensuring compliance with Bojangles’ standards·         Serving our Loyal Bojangles’ customers At Bojangles’ we are looking for Experienced Leaders with Excellent Communication and Customer Enhancement skills that will help us continue being an Industry-Leading Brand.  Our professional management team will provide you with the necessary tools to lead, learn and grow through our on-going training and management programs. If a career with Bojangles’ sounds intriguing, then why not apply and learn more about our Unit Director, Assistant Unit Director and Shift Manager Positions? Some of our benefits include:o   Competitive base salary o   Exceptional monthly bonus plan – one of the best plans in the industryo   401K (company matching)o   Industry leading comprehensive insurance program(s):§  Medical §  Dental§  Vision§  Life Insurance, Short and Long-term Disability Insurance (all company paid)o   Great vacation plano   Paid Holidayso   Outstanding training program (throughout career)o   Scholarship program for Employees and/or family members   EOE/Drug free workplace   (General Manager, Store Manager, Assistant Manager, Shift Leader, Crew Leader, Team Leader Restaurant Job)","['Scheduling', 'Inventory', 'compliance', 'Communication', 'Brand', 'training', 'plan', 'training']"
303,"The Enrollment Agent I (EA I) supports Enrollment Solutions Operations through participation in commercial, state, and/or federal programs. The employee performs electronic fingerprinting functions according to the commercial, state, or federal customer's program requirements. This position is a trainee role and the incumbent will be introduced to various processes, taught how to operate various fingerprinting machinery, and trained to navigate through specialized computer software databases. Essential Job Functions (includes but is not limited to): Provide superior customer service to internal and external customersPerform basic maintenance and troubleshoot issues with fingerprinting equipment, including computer hardware and softwareObtain successful customer fingerprint images and capture biometric information to meet or exceed program standardsVerify customer identity and scan required documents into database systemSuccessfully complete required biometric and data capture processes and paperwork on each customerAdhere to all company and departmental employment policies regarding security and confidentialityPerform administrative duties such as time keeping, shift schedules, daily activity reports, card inventory, equipment inventory, and requisitioning supplies Note: In addition to the Essential Functions, also performs similar work-related duties as assigned.Required Skills: Customer and Personal Service - Knowledge of principals and processes for providing customer and personal services, including customer needs assessment, meeting quality standards for services, and evaluation of customer satisfactionTechnology - Knowledge of electronic equipment, computer hardware, and computer software, including applications and data entryClerical - Knowledge of administrative and clerical duties, such as word processing, managing files and records, stenography and transcription, designing forms, and other office proceduresMonitoring - Monitoring/Assessing performance of self, other individuals, and/or outside organizations to make improvements or take corrective actionIntegrity - Job requires ethics and honesty Required Experience: High school diploma or equivalent degreeMinimum one (1) year applicable experienceProficiency in Microsoft Office Suite is requiredPrevious experience processing credentials preferredSome weekend work may be requiredMust be at least eighteen (18) years oldMust be a US Citizen Travel Requirement, Working Conditions and Physical Demands: Travel requirement, such as:Ability to travel locally for activities such as meetings, classes, and workshops.Occasional overnight travel as required; should not exceed 25% of the time Working Conditions, such as:General office environment. The work area is adequately lighted, heated, and ventilated. Physical Demands, such as:Office environment where the employee may sit comfortably to do the work. Some walking, standing, bending, reaching, and carrying of light items such as papers, books, small parts; driving an automobile, etc. Requires eye-hand coordination and manual dexterity sufficient to operate a keyboard, photocopier, telephone, and other office equipment.The work requires light physical effort with frequent lifting and/or moving of materials in the 10-30 pound range and occasional lifting up to 50 pounds. Requires manual dexterity and ability to manipulate small objects. May require normal range of hearing and vision to operate machinery. Must be a US Citizen, without dual CitizenshipsMorphoTrust is an equal opportunity employer.We evaluate qualified applicants without regard to race, color, religion, sex,sexual orientation, gender identity, national origin, disability, veteran status, and other protected characteristics","['Operations', 'hardware', 'database', 'policies', 'security', 'schedules', 'reports', 'inventory', 'inventory', 'hardware', 'word', 'Travel', 'Travel', 'travel', 'travel', 'keyboard', 'computer software', 'customer service', 'quality standards', 'computer software', 'Microsoft Office', 'Microsoft Office Suite']"
304,"Progressive Design, Inc. is a Heavy Industrial Engineer and Design Consulting Firm.  We are currently looking for Mechanical Designer/Machine Designer for a full time/direct hire position.  This position is located in Nashville, TN.  Requirements:Current working knowledge of AutoCAD 2015 utilizing multiple Xrefs.Experience with Autodesk Inventor.Basic knowledge of MicroStation V8 with the ability to translate drawings between AutoCAD and MicroStation.Mechanical and Machine Design Experience.Excellent organizational, design and drafting skills.Ability to travel and easily move about an industrial facility. Ability to read, understand, and review engineering drawings.Must be able to communicate and interact with mechanics, engineers and contractors to provide design solutions. Preferred Requirements/Qualifications:Knowledge of Revit. Job Responsibilities:Verification and modification to manufacturing facility drawings, equipment layouts and mechanical design work.Responsible for checking incoming vendor documentation and assisting personnel with requests for researching, plotting and creation of new drawings.Work on AutoCAD to:Reference files.Adapt to current CADD standards for creating or modifying drawings.Learn and follow current CADD procedures for routing drawings to outside resources.Translate drawing files from Microstation to Autocad, check geometry, and dimensions.Work with project engineers to create or modify equipment arrangements as needed.Work with mechanics and maintenance personnel to provide existing or new machine/part drawings.Provide drawings for vendors to fabricate machines, structures or parts. Verification may be required.Maintain existing facility documentation of utilities and equipment.Ability to effectively utilize Microsoft Excel, Word and Outlook.Detail oriented and organized.We offer a fast paced, exciting work environment with a competitive compensation package including: Health Care Benefits, Vacation, 401K and tuition reimbursement. Please visit our website at www.progressive-design.com for additional company information.  ","['Design', 'Design', 'Consulting', 'AutoCAD', 'AutoCAD', 'Design', 'design', 'drafting', 'travel', 'engineering', 'design', 'design', 'documentation', 'requests', 'researching', 'AutoCAD', 'routing', 'Autocad', 'vendors', 'documentation', 'Excel', 'Word', 'Health', 'website', 'Microsoft Excel']"
305,"Job Title: Personal Banker (SAFE) 1 - Cypress Area OverhireJob ID Number: 5211292-1Location: Houston,TXJob Description: Job DescriptionAt Wells Fargo, our vision is to satisfy our customers’ financial needs and help them succeed financially. In this role, you will help us deliver on our vision and build lifelong relationships with our customers. You also will demonstrate leadership through contributing to a company culture that supports customers in achieving their financial goals, team members in developing their careers, and communities in continuing to thrive. As part of a team that serves one in three American households, you will play a vital role in living our commitment to the highest ethical standards and maintaining the valued trust of our customers and communities. As a Personal Banker, you will devote much of your day to building long term relationships with our customers, in person and by phone. You will deepen the understanding of our customers' financial needs and provide suggestions. While most of the job is performed in the stores, Bankers reach out into the community by placing outbound phone calls to existing clients, visiting businesses, conducting educational seminars, and being active in the community. Our Expectation of our Personal Bankers: Personal Bankers are expected to exceed challenging sales and referral goals by proactively selling products and services to customers and referring customers to other areas of the bank. Personal Bankers sell retail banking products and services to customers and prospects. Manages customer portfolio, services relationships and cross-sells all products and services. Provides broad base of financial and credit services with the goals of acquiring 100% of the customers' business. Develops and maintains relationships with Wells Fargo partners to maximize sales opportunities and achieve minimum sales standards. Uses profiling analysis tools to identify cross sell opportunities and makes outbound sales calls typically by phone to increase product per customer ratio. May handle cash transactions. May spend up to 30% of time completing service-related tasks. Every banker has their own scorecard with daily sales and referral goals. You will be rewarded for your success with bonus incentives beyond base salary. Our best Bankers constantly go the extra mile, finding ways to be helpful while still working quickly and efficiently. Bankers have the ability to resolve difficult customer situations effectively while delivering friendly customer service and ensuring the highest level of customer satisfaction. At Wells Fargo, we have an outstanding diverse team. We want people who pitch in and help others enhance their ability to educate our customers. We'll provide outstanding training, but it's up to you to learn our products and services. Personal Bankers will develop and improve their skills through regular feedback discussions with supervisors and learn skills which will help further their professional experience and improve their chance for even greater roles in the future. Important Note: During the application process, ensure your contact information (email and phone number) is up to date and upload your current resume prior to submitting your application for consideration. If you are a Wells Fargo Team Member, in your Jobs Profile ensure that your email address is valid and updated to an address that can receive external emails outside of the banking network. Initial contact with you will be made via e-mail. Please check your e-mail regularly for updates. Required Qualifications 1+ year of experience selling products and services1+ year of experience interacting with people or customers Desired Qualifications Ability to navigate multiple computer systems, applications, and utilize search tools to find informationBasic Microsoft Office skillsExperience interacting positively with unsatisfied customersGood communication skills including speaking clearly, succinctly, and accurately while using a pleasant tone and common conversational courtesiesExperience in retail sales or the financial services industryExperience achieving individual and team goalsAbility to adhere to established attendance policies Other Desired QualificationsThis Personal Banker 1 (SAFE) position is an overhire for the Westheimer District and can be located at any of the following stores: Cypress, 249 & Spring Cypress, and/or Crossroads Job Expectations Ability to work weekends and holidays as needed or scheduledThis position requires SAFE registration at the time of employment. Wells Fargo will initiate the SAFE registration process immediately after your employment start date. The Nationwide Mortgage Licensing System (NMLS) web site (http://fedregistry.nationwidelicensingsystem.org ) provides the MU4R questions and registration required for employment in this position.Individuals in Loan Originator (LO) positions must meet the Consumer Financial Protection Bureau qualification requirements and comply with related Wells Fargo policies. The LO qualification requirements include meeting applicable financial responsibility, character, general financial fitness and criminal background standards. A current credit report will be used to assess your financial responsibility and credit fitness, however, a credit score is not included as part of the evaluation. Successful candidates must also meet ongoing regulatory requirements including additional screening, if necessary.Position Hours: Monday - Friday (as early as 7 am and as late as 6 pm ). Disclaimer All offers for employment with Wells Fargo are contingent upon the candidate having successfully completed a criminal background check. Wells Fargo will consider qualified candidates with criminal histories in a manner consistent with the requirements of applicable local, state and Federal law, including Section 19 of the Federal Deposit Insurance Act.Relevant military experience is considered for veterans and transitioning service men and women.Wells Fargo is an Affirmative Action and Equal Opportunity Employer, Minority/Female/Disabled/Veteran/Gender Identity/Sexual Orientation.","['sales', 'retail', 'banking', 'sales', 'sales', 'profiling', 'analysis', 'sales', 'transactions', 'sales', 'training', 'process', 'email', 'email', 'banking', 'updates', 'communication', 'retail', 'sales', 'policies', 'process', 'Mortgage', 'Licensing', 'System', 'policies', 'fitness', 'fitness', 'regulatory', 'phone calls', 'customer service', 'Microsoft Office', 'regulatory requirements']"
306,"Working as a Manager of Construction & Engineering, you will supervise day-to-day construction activities such as the placing, splicing, rearrangement, and removal of Outside Plant facilities. As a member of this team, you will have technical and administrative support for subordinates (Outside Technical employees) responsible for construction placing and splicing in rural and metro areas. You will ensure that work processes, standards and master plans are in conformance, and that schedules are adhered to. You may supervise a group of outside plant engineers and/or construction engineers. Responsibilities may also include installation and repair of Loop Electronics. This position may be responsible for contributing to AT&T's compliance with environmental laws and regulations as applicable to its job function. This may include, but is not limited to, work related to fuel tanks, emergency and stand-by generators, boilers, hazardous waste, hazardous materials, batteries, manholes and vaults, water wells, linear and other construction projects, water discharge, or air emissions. Required Qualifications: Must have satisfactory driving record and a valid drivers license Previous supervisory or leadership experience Knowledge of outside plant construction Strong verbal and written communication skills Desired Qualifications: Work experience in the construction industry","['Construction', 'Engineering', 'construction', 'technical', 'Technical', 'construction', 'schedules', 'construction', 'installation', 'Electronics', 'compliance', 'regulations', 'construction', 'construction', 'communication', 'construction', 'administrative support', 'driving record', 'valid drivers license']"
307,"DESIGN ENGINEER Ameron Pole Products, a manufacturer of Concrete Lighting Poles, has a Design Engineer position open at our Fillmore Manufacturing plant. Responsibilities include: Prepare structural design calcs & concrete mix designs for standard prestressed concrete products; Prepare submittal drawings using AutoCAD Inventor & mechanical desktop; Enter Parts and BillS of Materials into Oracle MRP; work with manufacturing to refine the product. BSCE or BSME with 1-5 years’ experience preferred. Must be willing to travel. Salary is DOE. We offer competitive benefits. Salary is dependent upon qualifications and experience. Background check and Drug screen is required. Please send resume to the address below, fax to 805-524-1537, email to: TR-VEN-PPDJobs@nov.com or mail to: Ameron - Pole Products 1020 B Street, Fillmore, CA 93015 Attn: ENG. MGR Equal Opportunity EmployerPosting provided by:","['DESIGN', 'Lighting', 'Design', 'design', 'AutoCAD', 'Oracle', 'travel', 'email']"
308,"JOB SUMMARY:The Service Manager is accountable to the GM for: overseeing the day-to-day operation of the service organization; ensure all service staff provide the highest quality of service to internal and external customers; achievement of the four KPMs; identify opportunities for G&K to further penetrate the marketplace; develop and maintain strong relationships with key accountants; develop and maintain strong relationships with other department heads; conduct periodic coaching/training rides with subordinates; create a supporting working environment where the business and employees can flourish.ESSENTIAL JOB FUNCTIONS:- Achieve all P&L goals (profit, growth, CSI and employees satisfaction)- Manage the department safety process- Build and maintain a sold working relationship with a select number of key accountants- Manage the fleet maintenance process- Identify and analyze business/service opportunities as they relate to profit, growth, quits, account penetration and direct purchase- Identify and analyze business/service opportunities as they relate to your market (repair service, pricing, strategy, recovery time, competitive strengths/weakness, new products)- Shift service team from a reactive customer retention stance to a proactive business direction- Assist National/Major account sales representatives in selling and installation of new accounts- Develop short-term business plans that support long-term goals- Assist GM in developing a strategic business planEDUCATION REQUIREMENTS:WORK EXPERIENCE REQUIREMENTS:- Previous service management experience- Thorough knowledge of the uniform business and Service StandardsSKILLS AND COMPETENCIES:- Implement a strong personnel process guided by quality recruiting, hiring, training, and coaching; implement and provide feedback on corporate/regional programs- Ability to: identify customer needs (both internal and external); analyze data, identify trends and develop action plans- Be a proponent of best practices. Develop a network of serivce managers that create and share effective processes that drive the performance of the service department- Model a World Class service organization by identifying and solving customer concerns immediately. Make the service memorable- Reinforce culture, mission, values, and ethical standards and provide leadership to Account Managers (sales) and Route Managers (service)SPECIALIZED KNOWLEDGE, LICENSES etc.:Additional Information:","['P', 'safety', 'analyze', 'analyze', 'strategy', 'retention', 'sales', 'installation', 'process', 'recruiting', 'training', 'coaching', 'analyze', 'sales', 'business plans', 'analyze data']"
309,"MUST BE US CITIZEN OR GREEN CARD HOLDER3RD SHIFT MECHANICMust have 2 – 3 year’s experience in an industrial environment. Foundry experience ( investment casting ) would be a plus. The successful candidate will be proficient in electro-mechanical control circuits and troubleshooting of same (480, 240, 120 VAC), the troubleshooting and rebuilding of hydraulic and pneumatic cylinders / motors.  PLC experience not required.  Must be able to read schematics, blue prints.  Welding or HVAC experience a plus. Performing PM’s on Plantequipment is required. This position will start out with training on 1st shift. ( may be 1-2 months on days ).  Facility warm in summer ( hot equipment ).  Some climbing, crawling around equipment.   Call Steve at (216) 261-9251 or email: stevew@lakeerietechnical.com","['GREEN', 'circuits', 'troubleshooting', 'troubleshooting', 'schematics', 'training', 'email']"
